Generation,Individual,Genome,Score
0,50,"[0.6 1.  1.2 2.1 2.5 0.6 0.  2.  0.5 0.  2.6 0.4 1.7 2.9 2.6 2.1 2.2 1.5
 2.7 2.6]",0.34697532653808594
0,51,"[2.8 0.5 1.6 2.3 1.2 0.7 2.1 2.1 2.9 2.5 0.  1.1 1.5 0.1 0.4 2.2 0.  2.8
 2.6 2.3]",0.3592178225517273
0,52,"[0.1 1.7 2.3 2.4 0.2 1.5 1.6 1.3 0.8 1.4 0.6 0.1 0.3 1.4 1.1 0.  1.3 2.
 2.2 2.8]",0.36009326577186584
0,53,"[2.6 2.  1.1 2.7 0.8 1.5 0.4 0.1 0.2 1.5 0.8 1.7 1.4 0.4 2.8 0.1 0.9 2.9
 0.5 0.4]",0.40088751912117004
0,54,"[2.7 0.2 1.9 0.3 0.1 2.9 2.1 2.7 1.  0.4 0.8 2.2 2.  0.3 0.1 2.4 1.5 2.3
 2.1 1.4]",0.4129396080970764
0,55,"[0.4 1.2 1.4 2.2 2.2 0.9 0.2 2.7 0.  0.1 0.9 2.6 1.4 2.7 1.  0.4 2.5 1.8
 0.8 2.1]",0.4181326925754547
0,56,"[2.1 2.1 1.  2.5 1.3 2.7 2.2 2.8 1.6 0.4 2.3 1.  2.5 0.7 1.4 1.9 1.9 0.1
 2.2 2.5]",0.4212034344673157
0,57,"[2.7 0.5 1.6 0.  2.8 1.6 1.3 1.6 0.6 0.  1.6 0.6 2.6 1.4 1.3 1.6 0.  1.1
 0.1 2.7]",0.4242008626461029
0,58,"[0.2 2.8 0.8 2.3 0.6 2.6 2.7 1.7 2.5 1.2 0.  2.3 2.8 0.4 0.  1.4 1.8 1.4
 1.7 2. ]",0.43057942390441895
0,59,"[2.9 0.1 1.  1.4 1.8 1.5 2.5 1.6 2.2 1.7 1.4 1.4 1.7 0.6 2.9 2.6 2.5 2.8
 1.6 2.5]",0.4378524720668793
0,60,"[2.2 2.  2.3 1.5 1.5 2.1 1.2 0.1 0.4 0.4 2.  2.1 0.9 1.8 1.8 0.7 0.6 0.2
 1.5 1.3]",0.46322381496429443
0,61,"[2.3 1.3 0.6 1.5 1.1 1.2 1.1 2.9 2.7 2.3 0.9 2.  1.1 1.6 1.2 0.9 1.5 1.8
 0.4 0.9]",0.48468276858329773
0,62,"[2.9 2.5 0.  1.4 1.6 2.4 2.5 2.  1.8 2.1 1.1 1.9 0.1 0.6 2.5 2.7 0.9 1.6
 0.1 1.5]",0.4886375069618225
0,63,"[2.6 0.5 0.9 2.5 0.3 2.5 2.  1.8 1.5 1.1 2.  1.1 0.1 1.9 0.7 0.4 0.1 0.3
 0.8 1.4]",0.49837425351142883
0,64,"[2.9 0.7 1.2 2.5 1.5 2.5 0.6 2.2 2.6 2.2 2.5 0.6 0.  2.4 1.5 1.  0.6 1.
 0.4 2.1]",0.5044149160385132
0,65,"[2.8 1.1 0.6 2.7 1.3 2.4 0.  0.3 0.6 0.7 1.2 2.8 1.9 1.5 2.1 1.5 1.4 1.
 2.9 0.9]",0.506355881690979
0,66,"[0.3 1.4 1.2 1.5 1.  2.9 0.2 2.5 0.4 1.7 0.4 0.  2.6 2.8 1.4 2.1 0.6 2.1
 0.6 0.9]",0.5096407532691956
0,67,"[2.6 2.5 1.5 0.4 1.7 1.2 2.5 0.  0.4 1.3 1.7 0.2 0.8 0.7 0.5 1.5 0.2 0.1
 1.1 0. ]",0.5114715695381165
0,68,"[1.  0.5 2.3 2.6 0.3 1.7 1.1 0.9 2.2 2.7 0.5 1.4 1.3 1.4 0.8 1.1 1.4 2.8
 1.3 0.5]",0.525953471660614
0,69,"[2.6 2.8 2.1 2.3 0.5 2.6 0.9 1.1 1.  0.7 2.9 0.4 2.1 1.2 0.5 2.8 0.4 1.7
 0.6 0.2]",0.533232569694519
0,70,"[2.8 1.3 1.5 1.8 1.  1.9 2.7 1.6 2.8 0.7 0.8 2.6 1.1 1.1 1.6 0.  0.3 0.3
 2.8 1.3]",0.551876425743103
0,71,"[2.7 2.4 2.4 2.9 2.9 2.  2.2 2.7 0.2 2.8 0.1 1.4 2.2 0.6 1.5 2.3 1.5 0.
 2.  1.3]",0.55231773853302
0,72,"[2.8 0.5 2.4 2.2 2.9 1.1 2.5 2.9 0.7 0.4 0.8 1.7 1.8 1.7 0.8 0.9 0.  0.9
 1.1 0.8]",0.562168300151825
0,73,"[2.9 1.  1.7 1.9 2.3 1.3 0.3 0.7 2.2 2.1 1.7 0.2 2.5 0.8 1.4 2.8 0.7 2.
 0.7 2.1]",0.5650107860565186
0,74,"[0.7 1.3 1.9 2.6 2.2 2.8 0.5 0.5 1.6 2.6 0.2 1.5 0.  1.  2.6 1.8 1.9 1.3
 0.5 0.2]",0.5657690167427063
0,75,"[2.  0.1 0.8 0.9 1.9 0.8 1.7 2.1 2.1 0.1 1.1 0.  1.8 0.5 1.8 2.3 0.8 2.4
 1.2 0.2]",0.5702725052833557
0,76,"[2.3 1.4 1.6 0.5 1.8 0.8 0.  2.4 0.4 0.9 0.7 0.  2.6 2.1 2.  0.  2.1 1.5
 1.4 2. ]",0.5868160724639893
0,77,"[0.7 2.5 1.6 2.8 0.4 0.1 2.8 0.3 1.9 2.4 2.  0.4 2.6 0.2 0.5 2.3 2.4 0.
 1.2 1.5]",0.5900925993919373
0,78,"[1.6 0.7 0.9 1.3 0.6 1.3 1.  0.2 0.7 1.8 0.9 2.2 0.6 0.6 1.3 2.8 2.5 1.
 1.3 0. ]",0.652728796005249
0,79,"[0.2 2.8 2.3 2.  2.3 1.9 0.  1.7 1.6 2.9 2.  1.  0.7 2.2 1.  0.1 0.2 1.8
 0.3 2.1]",0.677827775478363
0,80,"[0.8 1.6 1.6 0.1 0.2 0.5 1.  2.  1.9 1.1 2.9 2.  2.7 2.  1.4 0.4 2.8 0.8
 2.5 1.8]",0.6932885646820068
0,81,"[2.4 0.1 2.7 2.2 1.4 0.4 1.8 1.  1.9 1.  2.5 1.3 0.2 2.6 2.5 0.4 0.2 0.5
 1.  0. ]",0.7368693351745605
0,82,"[2.5 2.2 0.4 1.  0.2 1.7 2.9 1.2 2.5 2.2 2.1 2.5 0.2 0.  1.6 1.2 1.7 0.9
 1.4 1. ]",0.7453422546386719
0,83,"[1.5 2.1 1.2 2.4 2.8 0.1 1.1 1.9 1.6 2.5 1.3 0.9 1.5 2.7 1.5 2.5 2.5 2.5
 2.5 0. ]",0.7471429705619812
0,84,"[1.6 0.3 1.6 1.3 0.  0.4 0.3 0.6 2.9 1.2 1.6 2.  2.1 0.9 1.1 0.2 0.4 2.7
 1.7 2.3]",0.7794962525367737
0,85,"[1.4 1.4 1.6 2.  2.4 0.  2.7 0.7 0.8 2.  2.8 1.6 1.  0.2 0.4 1.3 0.1 2.7
 0.5 2.9]",0.7901313900947571
0,86,"[0.  0.9 1.6 2.4 2.  2.9 1.7 0.7 1.5 2.6 1.4 0.9 0.7 2.5 2.8 0.4 0.4 0.6
 2.8 1.4]",0.7977935671806335
0,87,"[1.8 2.9 2.5 2.6 2.  0.6 1.2 1.4 1.6 0.9 2.3 2.7 0.7 1.7 0.7 0.  0.9 1.1
 0.4 0.3]",0.815915048122406
0,88,"[1.8 2.1 2.8 1.8 0.  2.2 0.5 1.3 1.  1.6 2.7 2.6 2.  1.9 2.5 1.5 1.6 0.4
 0.9 0.5]",0.896953284740448
0,89,"[1.9 1.8 0.6 1.9 1.5 1.6 1.  1.  1.6 1.9 1.5 1.9 0.5 1.  2.5 2.3 0.  1.9
 0.7 1.1]",0.9472531080245972
0,90,"[1.5 0.8 1.9 2.7 1.8 2.3 1.5 2.7 0.3 2.5 0.1 1.4 0.1 2.2 0.5 1.6 2.6 1.3
 0.8 0.8]",1.071044921875
0,91,"[2.3 2.5 1.6 1.6 1.3 0.7 0.9 2.  2.7 1.9 2.  0.2 2.7 2.1 2.2 0.2 1.3 1.5
 1.5 2.3]",1.0904597043991089
0,92,"[2.8 2.5 1.3 0.9 2.3 0.  1.6 2.3 0.  2.  2.7 1.4 1.8 0.9 2.6 0.  0.3 1.3
 0.5 0.7]",1.1115126609802246
0,93,"[1.3 1.7 0.4 1.5 1.6 1.9 2.8 0.5 2.8 1.9 1.2 1.2 2.7 1.2 2.4 0.1 1.1 1.9
 1.9 1.8]",1.1163356304168701
0,94,"[1.  1.  2.8 1.3 2.9 0.3 0.7 2.8 0.4 2.5 2.6 2.6 0.1 0.1 1.6 1.4 0.2 0.3
 1.1 0.6]",1.1332521438598633
0,95,"[0.6 1.2 1.7 1.7 2.  1.3 1.8 1.  0.4 2.4 1.3 1.  0.9 2.4 0.  2.7 0.7 0.8
 1.9 0.4]",1.2578812837600708
0,96,"[2.6 2.8 0.9 1.6 2.6 2.5 2.  2.9 2.6 1.1 2.1 2.2 1.4 0.5 0.9 2.6 0.7 0.7
 2.6 2.2]",1.3467680215835571
0,97,"[0.6 0.1 2.4 1.7 2.2 2.5 0.4 0.7 2.8 1.6 1.5 2.9 0.2 1.8 2.7 1.4 0.9 2.3
 0.4 1.9]",1.4988845586776733
0,98,"[2.8 2.3 0.7 2.4 2.7 1.1 1.2 1.6 0.5 1.9 1.4 1.3 2.1 0.6 2.7 2.7 1.9 2.
 2.2 0. ]",1.5387665033340454
0,99,"[0.8 1.1 0.8 0.4 1.5 1.8 0.  1.2 2.2 2.3 2.8 2.1 1.1 1.9 2.1 1.1 0.  0.8
 2.5 2. ]",1.5919233560562134
